Date,Service,Region,CostUSD,UsageQuantity
2025-09-03,Amazon DynamoDB,us-west-2,2.33,16.01
2025-09-03,Amazon DynamoDB,ap-northeast-1,1.17,8.0
2025-09-03,Amazon EBS,us-east-1,1.86,24.2
2025-09-03,Amazon EBS,us-west-2,1.24,16.14
2025-09-03,Amazon EBS,ap-northeast-1,0.62,8.07
2025-09-03,Amazon VPC,us-east-1,0.0,10.53
2025-09-03,Amazon VPC,us-west-2,0.0,7.02
2025-09-03,Amazon VPC,ap-northeast-1,0.0,3.51
2025-09-03,Amazon Route 53,us-east-1,0.52,15.03
2025-09-03,Amazon Route 53,us-west-2,0.34,10.02
2025-09-03,Amazon Route 53,ap-northeast-1,0.17,5.01
2025-09-03,Amazon SNS,us-east-1,3.1,15.95
2025-09-03,Amazon SNS,us-west-2,2.07,10.63
2025-09-03,Amazon SNS,ap-northeast-1,1.03,5.31
2025-09-03,Amazon SQS,us-east-1,1.94,37.99
2025-09-03,Amazon SQS,us-west-2,1.29,25.33
2025-09-03,Amazon SQS,ap-northeast-1,0.65,12.66
2025-09-03,AWS Glue,us-east-1,1.97,32.38
2025-09-03,AWS Glue,us-west-2,1.31,21.58
2025-09-03,AWS Glue,ap-northeast-1,0.66,10.79
2025-09-03,Amazon Redshift,us-east-1,1.1,22.95
2025-09-03,Amazon Redshift,us-west-2,0.73,15.3
2025-09-03,Amazon Redshift,ap-northeast-1,0.37,7.65
2025-09-03,Amazon Athena,us-east-1,1.07,21.61
2025-09-03,Amazon Athena,us-west-2,0.72,14.41
2025-09-03,Amazon Athena,ap-northeast-1,0.36,7.2
2025-09-03,AWS Step Functions,us-east-1,3.76,7.72
2025-09-03,AWS Step Functions,us-west-2,2.51,5.15
2025-09-03,AWS Step Functions,ap-northeast-1,1.25,2.57
2025-09-03,Amazon EKS,us-east-1,3.15,27.38
2025-09-03,Amazon EKS,us-west-2,2.1,18.25
2025-09-03,Amazon EKS,ap-northeast-1,1.05,9.12
2025-09-03,Amazon ECS,us-east-1,1.61,10.54
2025-09-03,Amazon ECS,us-west-2,1.07,7.03
2025-09-03,Amazon ECS,ap-northeast-1,0.54,3.51
2025-09-03,AWS CloudTrail,us-east-1,2.61,19.7
2025-09-03,AWS CloudTrail,us-west-2,1.74,13.14
2025-09-03,AWS CloudTrail,ap-northeast-1,0.87,6.57
2025-09-03,Amazon CloudWatch,us-east-1,2.85,25.22
2025-09-03,Amazon CloudWatch,us-west-2,1.9,16.81
2025-09-03,Amazon CloudWatch,ap-northeast-1,0.95,8.41
2025-09-03,AWS KMS,us-east-1,4.91,22.61
2025-09-03,AWS KMS,us-west-2,3.27,15.07
2025-09-03,AWS KMS,ap-northeast-1,1.64,7.54
2025-09-04,Amazon EC2,us-east-1,0.96,26.8
2025-09-04,Amazon EC2,us-west-2,0.64,17.86
2025-09-04,Amazon EC2,ap-northeast-1,0.32,8.93
2025-09-04,Amazon S3,us-east-1,2.83,38.59
2025-09-04,Amazon S3,us-west-2,1.89,25.73
2025-09-04,Amazon S3,ap-northeast-1,0.94,12.86
2025-09-04,Amazon RDS,us-east-1,3.75,28.57
2025-09-04,Amazon RDS,us-west-2,2.5,19.05
2025-09-04,Amazon RDS,ap-northeast-1,1.25,9.52
2025-09-04,AWS Lambda,us-east-1,4.7,13.11
2025-09-04,AWS Lambda,us-west-2,3.13,8.74
2025-09-04,AWS Lambda,ap-northeast-1,1.56,4.37
2025-09-04,Amazon CloudFront,us-east-1,1.54,15.73
2025-09-04,Amazon CloudFront,us-west-2,1.03,10.49
2025-09-04,Amazon CloudFront,ap-northeast-1,0.51,5.24
2025-09-04,Amazon DynamoDB,us-east-1,1.92,11.23
2025-09-04,Amazon DynamoDB,us-west-2,1.28,7.49
2025-09-04,Amazon DynamoDB,ap-northeast-1,0.64,3.74
2025-09-04,Amazon EBS,us-east-1,3.46,22.78
2025-09-04,Amazon EBS,us-west-2,2.3,15.19
2025-09-04,Amazon EBS,ap-northeast-1,1.15,7.59
2025-09-04,Amazon VPC,us-east-1,0.29,14.85
2025-09-04,Amazon VPC,us-west-2,0.2,9.9
2025-09-04,Amazon VPC,ap-northeast-1,0.1,4.95
2025-09-04,Amazon Route 53,us-east-1,2.97,33.38
2025-09-04,Amazon Route 53,us-west-2,1.98,22.25
2025-09-04,Amazon Route 53,ap-northeast-1,0.99,11.13
2025-09-04,Amazon SNS,us-east-1,5.5,54.14
2025-09-04,Amazon SNS,us-west-2,3.66,36.09
2025-09-04,Amazon SNS,ap-northeast-1,1.83,18.05
2025-09-04,Amazon SQS,us-east-1,3.12,15.11
2025-09-04,Amazon SQS,us-west-2,2.08,10.07
2025-09-04,Amazon SQS,ap-northeast-1,1.04,5.04
2025-09-04,AWS Glue,us-east-1,0.0,27.68
2025-09-04,AWS Glue,us-west-2,0.0,18.45
2025-09-04,AWS Glue,ap-northeast-1,0.0,9.22
2025-09-04,Amazon Redshift,us-east-1,1.28,20.84
2025-09-04,Amazon Redshift,us-west-2,0.85,13.9
2025-09-04,Amazon Redshift,ap-northeast-1,0.43,6.95
2025-09-04,Amazon Athena,us-east-1,1.58,23.59
2025-09-04,Amazon Athena,us-west-2,1.05,15.73
2025-09-04,Amazon Athena,ap-northeast-1,0.53,7.86
2025-09-04,AWS Step Functions,us-east-1,4.1,26.57
2025-09-04,AWS Step Functions,us-west-2,2.73,17.71
2025-09-04,AWS Step Functions,ap-northeast-1,1.37,8.86
2025-09-04,Amazon EKS,us-east-1,2.26,14.64
2025-09-04,Amazon EKS,us-west-2,1.51,9.76
2025-09-04,Amazon EKS,ap-northeast-1,0.75,4.88
2025-09-04,Amazon ECS,us-east-1,0.0,20.14
2025-09-04,Amazon ECS,us-west-2,0.0,13.42
2025-09-04,Amazon ECS,ap-northeast-1,0.0,6.71
2025-09-04,AWS CloudTrail,us-east-1,2.42,42.68
2025-09-04,AWS CloudTrail,us-west-2,1.61,28.45
2025-09-04,AWS CloudTrail,ap-northeast-1,0.81,14.23
2025-09-04,Amazon CloudWatch,us-east-1,2.69,34.83
2025-09-04,Amazon CloudWatch,us-west-2,1.8,23.22
2025-09-04,Amazon CloudWatch,ap-northeast-1,0.9,11.61
2025-09-04,AWS KMS,us-east-1,1.75,13.15
2025-09-04,AWS KMS,us-west-2,1.17,8.77
2025-09-04,AWS KMS,ap-northeast-1,0.58,4.38
2025-09-05,Amazon EC2,us-east-1,1.05,17.75
2025-09-05,Amazon EC2,us-west-2,0.7,11.83
2025-09-05,Amazon EC2,ap-northeast-1,0.35,5.92
2025-09-05,Amazon S3,us-east-1,5.7,16.79
2025-09-05,Amazon S3,us-west-2,3.8,11.19
2025-09-05,Amazon S3,ap-northeast-1,1.9,5.59
2025-09-05,Amazon RDS,us-east-1,3.76,15.97
2025-09-05,Amazon RDS,us-west-2,2.51,10.65
2025-09-05,Amazon RDS,ap-northeast-1,1.25,5.32
2025-09-05,AWS Lambda,us-east-1,3.9,28.85
2025-09-05,AWS Lambda,us-west-2,2.6,19.23
2025-09-05,AWS Lambda,ap-northeast-1,1.3,9.62
2025-09-05,Amazon CloudFront,us-east-1,2.27,24.59
2025-09-05,Amazon CloudFront,us-west-2,1.51,16.39
2025-09-05,Amazon CloudFront,ap-northeast-1,0.76,8.2
2025-09-05,Amazon DynamoDB,us-east-1,1.52,29.46
2025-09-05,Amazon DynamoDB,us-west-2,1.01,19.64
2025-09-05,Amazon DynamoDB,ap-northeast-1,0.51,9.82
2025-09-05,Amazon EBS,us-east-1,1.82,12.74
2025-09-05,Amazon EBS,us-west-2,1.21,8.5
2025-09-05,Amazon EBS,ap-northeast-1,0.61,4.25
2025-09-05,Amazon VPC,us-east-1,0.58,26.73
2025-09-05,Amazon VPC,us-west-2,0.39,17.82
2025-09-05,Amazon VPC,ap-northeast-1,0.19,8.91
2025-09-05,Amazon Route 53,us-east-1,4.87,26.6
2025-09-05,Amazon Route 53,us-west-2,3.25,17.73
2025-09-05,Amazon Route 53,ap-northeast-1,1.62,8.87
2025-09-05,Amazon SNS,us-east-1,2.32,27.86
2025-09-05,Amazon SNS,us-west-2,1.55,18.57
2025-09-05,Amazon SNS,ap-northeast-1,0.77,9.29
2025-09-05,Amazon SQS,us-east-1,4.46,27.2
2025-09-05,Amazon SQS,us-west-2,2.97,18.13
2025-09-05,Amazon SQS,ap-northeast-1,1.49,9.06
2025-09-05,AWS Glue,us-east-1,1.89,36.06
2025-09-05,AWS Glue,us-west-2,1.26,24.04
2025-09-05,AWS Glue,ap-northeast-1,0.63,12.02
2025-09-05,Amazon Redshift,us-east-1,3.15,40.36
2025-09-05,Amazon Redshift,us-west-2,2.1,26.91
2025-09-05,Amazon Redshift,ap-northeast-1,1.05,13.45
2025-09-05,Amazon Athena,us-east-1,2.77,12.76
2025-09-05,Amazon Athena,us-west-2,1.85,8.5
2025-09-05,Amazon Athena,ap-northeast-1,0.92,4.25
2025-09-05,AWS Step Functions,us-east-1,0.45,41.51
2025-09-05,AWS Step Functions,us-west-2,0.3,27.67
2025-09-05,AWS Step Functions,ap-northeast-1,0.15,13.84
2025-09-05,Amazon EKS,us-east-1,5.08,23.2
2025-09-05,Amazon EKS,us-west-2,3.39,15.47
2025-09-05,Amazon EKS,ap-northeast-1,1.69,7.73
2025-09-05,Amazon ECS,us-east-1,1.93,39.62
2025-09-05,Amazon ECS,us-west-2,1.28,26.41
2025-09-05,Amazon ECS,ap-northeast-1,0.64,13.21
2025-09-05,AWS CloudTrail,us-east-1,0.84,16.05
2025-09-05,AWS CloudTrail,us-west-2,0.56,10.7
2025-09-05,AWS CloudTrail,ap-northeast-1,0.28,5.35
2025-09-05,Amazon CloudWatch,us-east-1,3.46,21.05
2025-09-05,Amazon CloudWatch,us-west-2,2.31,14.04
2025-09-05,Amazon CloudWatch,ap-northeast-1,1.15,7.02
2025-09-05,AWS KMS,us-east-1,2.49,23.36
2025-09-05,AWS KMS,us-west-2,1.66,15.58
2025-09-05,AWS KMS,ap-northeast-1,0.83,7.79
2025-09-06,Amazon EC2,us-east-1,3.0,39.08
2025-09-06,Amazon EC2,us-west-2,2.0,26.05
2025-09-06,Amazon EC2,ap-northeast-1,1.0,13.03
2025-09-06,Amazon S3,us-east-1,2.63,31.44
2025-09-06,Amazon S3,us-west-2,1.76,20.96
2025-09-06,Amazon S3,ap-northeast-1,0.88,10.48
2025-09-06,Amazon RDS,us-east-1,0.0,24.52
2025-09-06,Amazon RDS,us-west-2,0.0,16.34
2025-09-06,Amazon RDS,ap-northeast-1,0.0,8.17
2025-09-06,AWS Lambda,us-east-1,1.24,12.81
2025-09-06,AWS Lambda,us-west-2,0.82,8.54
2025-09-06,AWS Lambda,ap-northeast-1,0.41,4.27
2025-09-06,Amazon CloudFront,us-east-1,1.19,21.66
2025-09-06,Amazon CloudFront,us-west-2,0.79,14.44
2025-09-06,Amazon CloudFront,ap-northeast-1,0.4,7.22
2025-09-06,Amazon DynamoDB,us-east-1,3.88,11.73
2025-09-06,Amazon DynamoDB,us-west-2,2.58,7.82
2025-09-06,Amazon DynamoDB,ap-northeast-1,1.29,3.91
2025-09-06,Amazon EBS,us-east-1,2.54,20.16
2025-09-06,Amazon EBS,us-west-2,1.7,13.44
2025-09-06,Amazon EBS,ap-northeast-1,0.85,6.72
2025-09-06,Amazon VPC,us-east-1,2.01,35.03
2025-09-06,Amazon VPC,us-west-2,1.34,23.35
2025-09-06,Amazon VPC,ap-northeast-1,0.67,11.68
2025-09-06,Amazon Route 53,us-east-1,3.31,38.38
2025-09-06,Amazon Route 53,us-west-2,2.2,25.58
2025-09-06,Amazon Route 53,ap-northeast-1,1.1,12.79
2025-09-06,Amazon SNS,us-east-1,2.27,18.04
2025-09-06,Amazon SNS,us-west-2,1.51,12.03
2025-09-06,Amazon SNS,ap-northeast-1,0.76,6.01
2025-09-06,Amazon SQS,us-east-1,2.17,27.43
2025-09-06,Amazon SQS,us-west-2,1.44,18.28
2025-09-06,Amazon SQS,ap-northeast-1,0.72,9.14
2025-09-06,AWS Glue,us-east-1,2.77,14.15
2025-09-06,AWS Glue,us-west-2,1.84,9.44
2025-09-06,AWS Glue,ap-northeast-1,0.92,4.72
2025-09-06,Amazon Redshift,us-east-1,2.63,27.28
2025-09-06,Amazon Redshift,us-west-2,1.76,18.19
2025-09-06,Amazon Redshift,ap-northeast-1,0.88,9.09
2025-09-06,Amazon Athena,us-east-1,6.28,43.77
2025-09-06,Amazon Athena,us-west-2,4.18,29.18
2025-09-06,Amazon Athena,ap-northeast-1,2.09,14.59
2025-09-06,AWS Step Functions,us-east-1,1.22,22.12
2025-09-06,AWS Step Functions,us-west-2,0.81,14.75
2025-09-06,AWS Step Functions,ap-northeast-1,0.41,7.38
2025-09-06,Amazon EKS,us-east-1,0.3,19.09
2025-09-06,Amazon EKS,us-west-2,0.2,12.73
2025-09-06,Amazon EKS,ap-northeast-1,0.1,6.36
2025-09-06,Amazon ECS,us-east-1,2.98,37.06
2025-09-06,Amazon ECS,us-west-2,1.98,24.71
2025-09-06,Amazon ECS,ap-northeast-1,0.99,12.35
2025-09-06,AWS CloudTrail,us-east-1,1.41,18.46
2025-09-06,AWS CloudTrail,us-west-2,0.94,12.31
2025-09-06,AWS CloudTrail,ap-northeast-1,0.47,6.15
2025-09-06,Amazon CloudWatch,us-east-1,0.0,23.38
2025-09-06,Amazon CloudWatch,us-west-2,0.0,15.58
2025-09-06,Amazon CloudWatch,ap-northeast-1,0.0,7.79
2025-09-06,AWS KMS,us-east-1,0.91,19.7
2025-09-06,AWS KMS,us-west-2,0.6,13.14
2025-09-06,AWS KMS,ap-northeast-1,0.3,6.57
2025-09-07,Amazon EC2,us-east-1,1.19,24.05
2025-09-07,Amazon EC2,us-west-2,0.79,16.04
2025-09-07,Amazon EC2,ap-northeast-1,0.4,8.02
2025-09-07,Amazon S3,us-east-1,0.0,10.33
2025-09-07,Amazon S3,us-west-2,0.0,6.89
2025-09-07,Amazon S3,ap-northeast-1,0.0,3.44
2025-09-07,Amazon RDS,us-east-1,5.7,12.12
2025-09-07,Amazon RDS,us-west-2,3.8,8.08
2025-09-07,Amazon RDS,ap-northeast-1,1.9,4.04
2025-09-07,AWS Lambda,us-east-1,0.85,43.37
2025-09-07,AWS Lambda,us-west-2,0.57,28.91
2025-09-07,AWS Lambda,ap-northeast-1,0.28,14.46
2025-09-07,Amazon CloudFront,us-east-1,6.86,13.29
2025-09-07,Amazon CloudFront,us-west-2,4.57,8.86
2025-09-07,Amazon CloudFront,ap-northeast-1,2.29,4.43
2025-09-07,Amazon DynamoDB,us-east-1,1.95,28.41
2025-09-07,Amazon DynamoDB,us-west-2,1.3,18.94
2025-09-07,Amazon DynamoDB,ap-northeast-1,0.65,9.47
2025-09-07,Amazon EBS,us-east-1,5.09,15.13
2025-09-07,Amazon EBS,us-west-2,3.4,10.09
2025-09-07,Amazon EBS,ap-northeast-1,1.7,5.04
2025-09-07,Amazon VPC,us-east-1,2.13,32.77
2025-09-07,Amazon VPC,us-west-2,1.42,21.85
2025-09-07,Amazon VPC,ap-northeast-1,0.71,10.92
2025-09-07,Amazon Route 53,us-east-1,3.15,21.24
2025-09-07,Amazon Route 53,us-west-2,2.1,14.16
2025-09-07,Amazon Route 53,ap-northeast-1,1.05,7.08
2025-09-07,Amazon SNS,us-east-1,2.3,11.25
2025-09-07,Amazon SNS,us-west-2,1.53,7.5
2025-09-07,Amazon SNS,ap-northeast-1,0.77,3.75
2025-09-07,Amazon SQS,us-east-1,2.15,22.34
2025-09-07,Amazon SQS,us-west-2,1.43,14.89
2025-09-07,Amazon SQS,ap-northeast-1,0.71,7.45
2025-09-07,AWS Glue,us-east-1,2.85,19.45
2025-09-07,AWS Glue,us-west-2,1.9,12.96
2025-09-07,AWS Glue,ap-northeast-1,0.95,6.48
2025-09-07,Amazon Redshift,us-east-1,3.21,35.12
2025-09-07,Amazon Redshift,us-west-2,2.14,23.42
2025-09-07,Amazon Redshift,ap-northeast-1,1.07,11.71
2025-09-07,Amazon Athena,us-east-1,2.73,28.52
2025-09-07,Amazon Athena,us-west-2,1.82,19.01
2025-09-07,Amazon Athena,ap-northeast-1,0.91,9.51
2025-09-07,AWS Step Functions,us-east-1,2.58,25.0
2025-09-07,AWS Step Functions,us-west-2,1.72,16.67
2025-09-07,AWS Step Functions,ap-northeast-1,0.86,8.33
2025-09-07,Amazon EKS,us-east-1,1.42,28.16
2025-09-07,Amazon EKS,us-west-2,0.95,18.78
2025-09-07,Amazon EKS,ap-northeast-1,0.47,9.39
2025-09-07,Amazon ECS,us-east-1,2.35,45.93
2025-09-07,Amazon ECS,us-west-2,1.57,30.62
2025-09-07,Amazon ECS,ap-northeast-1,0.78,15.31
2025-09-07,AWS CloudTrail,us-east-1,4.86,28.86
2025-09-07,AWS CloudTrail,us-west-2,3.24,19.24
2025-09-07,AWS CloudTrail,ap-northeast-1,1.62,9.62
2025-09-07,Amazon CloudWatch,us-east-1,1.35,13.88
2025-09-07,Amazon CloudWatch,us-west-2,0.9,9.25
2025-09-07,Amazon CloudWatch,ap-northeast-1,0.45,4.62
2025-09-07,AWS KMS,us-east-1,4.29,27.62
2025-09-07,AWS KMS,us-west-2,2.86,18.42
2025-09-07,AWS KMS,ap-northeast-1,1.43,9.21
2025-09-08,Amazon EC2,us-east-1,3.22,7.55
2025-09-08,Amazon EC2,us-west-2,2.15,5.04
2025-09-08,Amazon EC2,ap-northeast-1,1.07,2.52
2025-09-08,Amazon S3,us-east-1,3.89,29.55
2025-09-08,Amazon S3,us-west-2,2.59,19.7
2025-09-08,Amazon S3,ap-northeast-1,1.3,9.85
2025-09-08,Amazon RDS,us-east-1,0.83,20.29
2025-09-08,Amazon RDS,us-west-2,0.56,13.52
2025-09-08,Amazon RDS,ap-northeast-1,0.28,6.76
2025-09-08,AWS Lambda,us-east-1,2.9,25.52
2025-09-08,AWS Lambda,us-west-2,1.93,17.02
2025-09-08,AWS Lambda,ap-northeast-1,0.96,8.51
2025-09-08,Amazon CloudFront,us-east-1,2.06,23.96
2025-09-08,Amazon CloudFront,us-west-2,1.37,15.98
2025-09-08,Amazon CloudFront,ap-northeast-1,0.69,7.99
2025-09-08,Amazon DynamoDB,us-east-1,2.12,26.52
2025-09-08,Amazon DynamoDB,us-west-2,1.41,17.68
2025-09-08,Amazon DynamoDB,ap-northeast-1,0.71,8.84
2025-09-08,Amazon EBS,us-east-1,4.71,0.0
2025-09-08,Amazon EBS,us-west-2,3.14,0.0
2025-09-08,Amazon EBS,ap-northeast-1,1.57,0.0
2025-09-08,Amazon VPC,us-east-1,2.15,26.77
2025-09-08,Amazon VPC,us-west-2,1.43,17.84
2025-09-08,Amazon VPC,ap-northeast-1,0.71,8.92
2025-09-08,Amazon Route 53,us-east-1,2.94,21.28
2025-09-08,Amazon Route 53,us-west-2,1.96,14.19
2025-09-08,Amazon Route 53,ap-northeast-1,0.98,7.09
2025-09-08,Amazon SNS,us-east-1,0.0,28.28
2025-09-08,Amazon SNS,us-west-2,0.0,18.85
2025-09-08,Amazon SNS,ap-northeast-1,0.0,9.43
2025-09-08,Amazon SQS,us-east-1,5.09,9.66
2025-09-08,Amazon SQS,us-west-2,3.39,6.44
2025-09-08,Amazon SQS,ap-northeast-1,1.7,3.22
2025-09-08,AWS Glue,us-east-1,3.79,21.71
2025-09-08,AWS Glue,us-west-2,2.53,14.48
2025-09-08,AWS Glue,ap-northeast-1,1.26,7.24
2025-09-08,Amazon Redshift,us-east-1,2.41,14.47
